pattern_type,pattern,size,example_qids
prefix,user i am a huge fan,35,PartII_question_4077 | PartII_question_5486 | PartII_question_6586 | PartII_question_9502 | PartII_question_12245 | PartII_question_12456 | PartII_question_13369 | PartII_question_13913 | PartII_question_14557 | PartII_question_18057
prefix,user i would like to retrieve,35,PartII_question_7327 | PartII_question_7639 | PartII_question_8562 | PartII_question_12085 | PartII_question_13676 | PartII_question_16069 | PartII_question_20015 | PartII_question_20352 | PartII_question_21497 | PartII_question_22767
prefix,user i'm a game enthusiast and,35,PartII_question_3291 | PartII_question_5558 | PartII_question_5876 | PartII_question_8723 | PartII_question_9081 | PartII_question_9604 | PartII_question_11452 | PartII_question_11779 | PartII_question_12003 | PartII_question_12109
prefix,user please fetch the details of,35,PartII_question_7622 | PartII_question_9999 | PartII_question_11522 | PartII_question_13552 | PartII_question_14954 | PartII_question_15526 | PartII_question_16553 | PartII_question_18569 | PartII_question_23222 | PartII_question_24671
prefix,assume all gases are perfect unless,34,leaderboard_mmlu_pro_question_507 | leaderboard_mmlu_pro_question_518 | leaderboard_mmlu_pro_question_1945 | leaderboard_mmlu_pro_question_2022 | leaderboard_mmlu_pro_question_3437 | leaderboard_mmlu_pro_question_3449 | leaderboard_mmlu_pro_question_3537 | leaderboard_mmlu_pro_question_4941 | leaderboard_mmlu_pro_question_4953 | leaderboard_mmlu_pro_question_4963
prefix,user i am planning a solo,34,PartII_question_4387 | PartII_question_9916 | PartII_question_11902 | PartII_question_17337 | PartII_question_20777 | PartII_question_21094 | PartII_question_25016 | PartII_question_27702 | PartII_question_28196 | PartII_question_29476
prefix,user i need to cancel the,34,PartII_question_75202 | PartII_question_75215 | PartII_question_75224 | PartII_question_75293 | PartII_question_75304 | PartII_question_75309 | PartII_question_75317 | PartII_question_75347 | PartII_question_75390 | PartII_question_75403
prefix,user i need to download a,34,PartII_question_3888 | PartII_question_4858 | PartII_question_7241 | PartII_question_8001 | PartII_question_9983 | PartII_question_17344 | PartII_question_18761 | PartII_question_19566 | PartII_question_19836 | PartII_question_29343
prefix,user i want to find a,34,PartII_question_3833 | PartII_question_8019 | PartII_question_9516 | PartII_question_9520 | PartII_question_16799 | PartII_question_18297 | PartII_question_20251 | PartII_question_20557 | PartII_question_20813 | PartII_question_22551
prefix,user i'm a football coach and,34,PartII_question_3153 | PartII_question_14619 | PartII_question_15617 | PartII_question_19966 | PartII_question_21636 | PartII_question_22419 | PartII_question_22868 | PartII_question_26324 | PartII_question_30757 | PartII_question_31982
prefix,user i'm conducting research on the,34,PartII_question_5990 | PartII_question_6390 | PartII_question_7711 | PartII_question_12434 | PartII_question_13081 | PartII_question_13567 | PartII_question_16582 | PartII_question_19910 | PartII_question_21120 | PartII_question_21697
prefix,user i'm organizing a conference on,34,PartII_question_4927 | PartII_question_6947 | PartII_question_7233 | PartII_question_8845 | PartII_question_9044 | PartII_question_9808 | PartII_question_12162 | PartII_question_13517 | PartII_question_14078 | PartII_question_14256
prefix,user i'm organizing a game night,34,PartII_question_5200 | PartII_question_5542 | PartII_question_11576 | PartII_question_12340 | PartII_question_13696 | PartII_question_14368 | PartII_question_15896 | PartII_question_18179 | PartII_question_19481 | PartII_question_22600
prefix,user i'm organizing a hiking trip,34,PartII_question_4294 | PartII_question_6429 | PartII_question_7461 | PartII_question_10502 | PartII_question_10875 | PartII_question_13176 | PartII_question_13246 | PartII_question_17866 | PartII_question_21211 | PartII_question_22332
prefix,user i'm planning a camping trip,34,PartII_question_5540 | PartII_question_7186 | PartII_question_10699 | PartII_question_19224 | PartII_question_19504 | PartII_question_20723 | PartII_question_26314 | PartII_question_29496 | PartII_question_30057 | PartII_question_32320
prefix,user what was aapl stock yesterday,34,PartII_question_837 | PartII_question_857 | PartII_question_877 | PartII_question_1024 | PartII_question_1070 | PartII_question_1095 | PartII_question_1178 | PartII_question_1195 | PartII_question_1210 | PartII_question_1254
prefix,user i want to enhance my,33,PartII_question_3294 | PartII_question_4755 | PartII_question_9450 | PartII_question_9683 | PartII_question_13359 | PartII_question_14270 | PartII_question_15183 | PartII_question_15529 | PartII_question_15569 | PartII_question_16469
prefix,user i'm a fashion designer and,33,PartII_question_4558 | PartII_question_9959 | PartII_question_10807 | PartII_question_11028 | PartII_question_20685 | PartII_question_20832 | PartII_question_22769 | PartII_question_28626 | PartII_question_29001 | PartII_question_31069
prefix,user i'm a sports journalist working,33,PartII_question_3266 | PartII_question_4655 | PartII_question_5533 | PartII_question_5664 | PartII_question_7951 | PartII_question_9338 | PartII_question_11688 | PartII_question_16179 | PartII_question_16449 | PartII_question_17375
prefix,user i'm organizing a business trip,33,PartII_question_4799 | PartII_question_8623 | PartII_question_9578 | PartII_question_10563 | PartII_question_10800 | PartII_question_15597 | PartII_question_15625 | PartII_question_18263 | PartII_question_22000 | PartII_question_23576
prefix,user i'm organizing a movie night,33,PartII_question_4046 | PartII_question_8891 | PartII_question_12028 | PartII_question_18288 | PartII_question_22816 | PartII_question_26477 | PartII_question_28268 | PartII_question_34300 | PartII_question_37318 | PartII_question_37759
prefix,user i'm organizing a surprise anniversary,33,PartII_question_5696 | PartII_question_6702 | PartII_question_13083 | PartII_question_14370 | PartII_question_21589 | PartII_question_24770 | PartII_question_30229 | PartII_question_30787 | PartII_question_32655 | PartII_question_33704
prefix,user i'm planning a beach party,33,PartII_question_4901 | PartII_question_6295 | PartII_question_7710 | PartII_question_11274 | PartII_question_14135 | PartII_question_18380 | PartII_question_18650 | PartII_question_19160 | PartII_question_22884 | PartII_question_27502
prefix,user i'm planning to launch a,33,PartII_question_5009 | PartII_question_5127 | PartII_question_12963 | PartII_question_13580 | PartII_question_20850 | PartII_question_22271 | PartII_question_23891 | PartII_question_30906 | PartII_question_31663 | PartII_question_34175
prefix,on the floor you see a,32,leaderboard_bbh_reasoning_about_colored_objects_question_10 | leaderboard_bbh_reasoning_about_colored_objects_question_33 | leaderboard_bbh_reasoning_about_colored_objects_question_38 | leaderboard_bbh_reasoning_about_colored_objects_question_40 | leaderboard_bbh_reasoning_about_colored_objects_question_47 | leaderboard_bbh_reasoning_about_colored_objects_question_51 | leaderboard_bbh_reasoning_about_colored_objects_question_52 | leaderboard_bbh_reasoning_about_colored_objects_question_62 | leaderboard_bbh_reasoning_about_colored_objects_question_75 | leaderboard_bbh_reasoning_about_colored_objects_question_81
prefix,user hi can you help me,32,MTU_MMTN_question_7 | MTU_MMTN_question_19 | MTU_MMTN_question_72 | PartII_question_14 | PartII_question_15 | PartII_question_16 | PartII_question_17 | PartII_question_184 | PartII_question_185 | PartII_question_211
prefix,user i am a cryptocurrency enthusiast,32,PartII_question_4904 | PartII_question_12203 | PartII_question_20638 | PartII_question_21629 | PartII_question_21730 | PartII_question_23945 | PartII_question_24251 | PartII_question_26315 | PartII_question_26706 | PartII_question_28047
prefix,user i am a data analyst,32,PartII_question_3844 | PartII_question_6092 | PartII_question_8017 | PartII_question_9414 | PartII_question_17954 | PartII_question_18064 | PartII_question_18367 | PartII_question_22575 | PartII_question_23639 | PartII_question_25021
prefix,user i am developing a mobile,32,PartII_question_3006 | PartII_question_3780 | PartII_question_6378 | PartII_question_13072 | PartII_question_15730 | PartII_question_19212 | PartII_question_24950 | PartII_question_25595 | PartII_question_27215 | PartII_question_27596
prefix,user i'm in need of some,32,PartII_question_6499 | PartII_question_8332 | PartII_question_11604 | PartII_question_15112 | PartII_question_15156 | PartII_question_15586 | PartII_question_20533 | PartII_question_22150 | PartII_question_24666 | PartII_question_25092
prefix,user i'm organizing a beach party,32,PartII_question_2818 | PartII_question_5374 | PartII_question_5889 | PartII_question_6822 | PartII_question_7273 | PartII_question_9576 | PartII_question_10153 | PartII_question_12421 | PartII_question_12565 | PartII_question_13068
prefix,user i'm organizing a company outing,32,PartII_question_4087 | PartII_question_4524 | PartII_question_7481 | PartII_question_9253 | PartII_question_12232 | PartII_question_14809 | PartII_question_17142 | PartII_question_19604 | PartII_question_25787 | PartII_question_34590
prefix,user i'm planning to organize a,32,PartII_question_3847 | PartII_question_4432 | PartII_question_8335 | PartII_question_8637 | PartII_question_11400 | PartII_question_12912 | PartII_question_16267 | PartII_question_16931 | PartII_question_17671 | PartII_question_22399
prefix,user my family is going on,32,PartII_question_3029 | PartII_question_6922 | PartII_question_7478 | PartII_question_8768 | PartII_question_10107 | PartII_question_11403 | PartII_question_12281 | PartII_question_12979 | PartII_question_13277 | PartII_question_16690
prefix,user please help me find the,32,PartII_question_5199 | PartII_question_9194 | PartII_question_10722 | PartII_question_15385 | PartII_question_21469 | PartII_question_25553 | PartII_question_26340 | PartII_question_27997 | PartII_question_31521 | PartII_question_35190
prefix,user what is the concatenation of,32,PartII_question_74224 | PartII_question_74326 | PartII_question_74340 | PartII_question_74356 | PartII_question_74370 | PartII_question_74415 | PartII_question_74442 | PartII_question_74466 | PartII_question_74520 | PartII_question_74574
prefix,on the desk you see a,31,leaderboard_bbh_reasoning_about_colored_objects_question_17 | leaderboard_bbh_reasoning_about_colored_objects_question_22 | leaderboard_bbh_reasoning_about_colored_objects_question_32 | leaderboard_bbh_reasoning_about_colored_objects_question_54 | leaderboard_bbh_reasoning_about_colored_objects_question_56 | leaderboard_bbh_reasoning_about_colored_objects_question_65 | leaderboard_bbh_reasoning_about_colored_objects_question_74 | leaderboard_bbh_reasoning_about_colored_objects_question_77 | leaderboard_bbh_reasoning_about_colored_objects_question_85 | leaderboard_bbh_reasoning_about_colored_objects_question_92
prefix,user i am a music enthusiast,31,PartII_question_2781 | PartII_question_2808 | PartII_question_4227 | PartII_question_7161 | PartII_question_7967 | PartII_question_11046 | PartII_question_11419 | PartII_question_12728 | PartII_question_19391 | PartII_question_21749
prefix,user i am interested in exploring,31,PartII_question_3344 | PartII_question_4658 | PartII_question_7759 | PartII_question_12903 | PartII_question_14569 | PartII_question_15137 | PartII_question_15705 | PartII_question_17781 | PartII_question_19242 | PartII_question_21525
prefix,user i am organizing a conference,31,PartII_question_4780 | PartII_question_5360 | PartII_question_11077 | PartII_question_13423 | PartII_question_14678 | PartII_question_18673 | PartII_question_19048 | PartII_question_21535 | PartII_question_23037 | PartII_question_23315
prefix,user i am organizing a music,31,PartII_question_4945 | PartII_question_6638 | PartII_question_8188 | PartII_question_10514 | PartII_question_10979 | PartII_question_14445 | PartII_question_17436 | PartII_question_21054 | PartII_question_25620 | PartII_question_29788
prefix,user i am planning to attend,31,PartII_question_7353 | PartII_question_7866 | PartII_question_10271 | PartII_question_12531 | PartII_question_13241 | PartII_question_16189 | PartII_question_16843 | PartII_question_30207 | PartII_question_30606 | PartII_question_32829
prefix,user i need to translate a,31,PartII_question_3477 | PartII_question_6058 | PartII_question_7620 | PartII_question_15458 | PartII_question_16227 | PartII_question_16560 | PartII_question_17220 | PartII_question_17341 | PartII_question_17854 | PartII_question_19549
prefix,user i want to entertain my,31,PartII_question_4235 | PartII_question_6862 | PartII_question_9207 | PartII_question_9773 | PartII_question_10647 | PartII_question_13938 | PartII_question_14333 | PartII_question_20761 | PartII_question_20806 | PartII_question_21047
prefix,user i'm a dj and i'm,31,PartII_question_3173 | PartII_question_6514 | PartII_question_8466 | PartII_question_9167 | PartII_question_9272 | PartII_question_10509 | PartII_question_14401 | PartII_question_18526 | PartII_question_21918 | PartII_question_24460
prefix,user i'm hosting a music themed,31,PartII_question_2919 | PartII_question_5596 | PartII_question_9129 | PartII_question_11678 | PartII_question_11962 | PartII_question_15038 | PartII_question_15187 | PartII_question_19413 | PartII_question_22030 | PartII_question_25521
prefix,user i'm organizing a virtual game,31,PartII_question_4055 | PartII_question_5213 | PartII_question_6364 | PartII_question_7725 | PartII_question_8138 | PartII_question_12051 | PartII_question_17919 | PartII_question_18632 | PartII_question_19035 | PartII_question_20734
prefix,user i'm planning a surprise visit,31,PartII_question_3269 | PartII_question_6414 | PartII_question_7162 | PartII_question_10288 | PartII_question_13687 | PartII_question_14039 | PartII_question_22408 | PartII_question_22751 | PartII_question_31681 | PartII_question_33954
prefix,user my company is working on,31,PartII_question_2905 | PartII_question_8501 | PartII_question_8887 | PartII_question_9133 | PartII_question_10680 | PartII_question_16135 | PartII_question_16410 | PartII_question_17737 | PartII_question_21253 | PartII_question_21347
prefix,user i am a social media,30,PartII_question_5364 | PartII_question_9867 | PartII_question_11438 | PartII_question_12525 | PartII_question_14126 | PartII_question_14280 | PartII_question_14386 | PartII_question_16900 | PartII_question_19437 | PartII_question_20703
prefix,user i need to calculate the,30,PartII_question_4067 | PartII_question_6557 | PartII_question_9327 | PartII_question_9690 | PartII_question_16173 | PartII_question_19030 | PartII_question_20865 | PartII_question_20868 | PartII_question_21533 | PartII_question_21864
prefix,user i would like to explore,30,PartII_question_3534 | PartII_question_6494 | PartII_question_9096 | PartII_question_10018 | PartII_question_10058 | PartII_question_10623 | PartII_question_11184 | PartII_question_19282 | PartII_question_21587 | PartII_question_32012
prefix,user i'm a social media influencer,30,PartII_question_3282 | PartII_question_5434 | PartII_question_7728 | PartII_question_8433 | PartII_question_8625 | PartII_question_9702 | PartII_question_19067 | PartII_question_21624 | PartII_question_23711 | PartII_question_24843
prefix,user i'm a sports fan and,30,PartII_question_2831 | PartII_question_2935 | PartII_question_9018 | PartII_question_10475 | PartII_question_13677 | PartII_question_14487 | PartII_question_15333 | PartII_question_15845 | PartII_question_16078 | PartII_question_18233
prefix,user i'm hosting a charity event,30,PartII_question_7565 | PartII_question_12127 | PartII_question_13631 | PartII_question_13767 | PartII_question_15247 | PartII_question_20758 | PartII_question_21464 | PartII_question_24136 | PartII_question_24945 | PartII_question_25263
prefix,user i'm hosting a karaoke night,30,PartII_question_5367 | PartII_question_12803 | PartII_question_14349 | PartII_question_21361 | PartII_question_25819 | PartII_question_25856 | PartII_question_27112 | PartII_question_31553 | PartII_question_31869 | PartII_question_35550
prefix,user i'm organizing a party for,30,PartII_question_2698 | PartII_question_8671 | PartII_question_9535 | PartII_question_12310 | PartII_question_12589 | PartII_question_17067 | PartII_question_17865 | PartII_question_19602 | PartII_question_23523 | PartII_question_28762
prefix,user i'm organizing a sports event,30,PartII_question_3176 | PartII_question_4570 | PartII_question_10524 | PartII_question_16906 | PartII_question_18913 | PartII_question_22974 | PartII_question_29106 | PartII_question_30574 | PartII_question_31044 | PartII_question_31195
prefix,user i'm planning a surprise vacation,30,PartII_question_3490 | PartII_question_5093 | PartII_question_5266 | PartII_question_9594 | PartII_question_15083 | PartII_question_15722 | PartII_question_17543 | PartII_question_21793 | PartII_question_23541 | PartII_question_26801
prefix,user my company is developing an,30,PartII_question_3985 | PartII_question_4592 | PartII_question_9922 | PartII_question_10643 | PartII_question_11162 | PartII_question_12328 | PartII_question_12925 | PartII_question_13671 | PartII_question_17964 | PartII_question_20464
prefix,user retrieve the details of a,30,PartII_question_4447 | PartII_question_7394 | PartII_question_10385 | PartII_question_19537 | PartII_question_20120 | PartII_question_21459 | PartII_question_24765 | PartII_question_24812 | PartII_question_25157 | PartII_question_26444
prefix,user what is the closest palindrome,30,PartII_question_74215 | PartII_question_74252 | PartII_question_74281 | PartII_question_74307 | PartII_question_74367 | PartII_question_74428 | PartII_question_74436 | PartII_question_74444 | PartII_question_74452 | PartII_question_74496
prefix,user how many unique letters are,29,PartII_question_74204 | PartII_question_74232 | PartII_question_74318 | PartII_question_74358 | PartII_question_74406 | PartII_question_74515 | PartII_question_74573 | PartII_question_74611 | PartII_question_74612 | PartII_question_74619
prefix,user i am a business owner,29,PartII_question_5165 | PartII_question_8309 | PartII_question_9530 | PartII_question_11806 | PartII_question_16127 | PartII_question_18113 | PartII_question_18716 | PartII_question_24165 | PartII_question_30707 | PartII_question_32416
prefix,user i am curious to know,29,PartII_question_3311 | PartII_question_6926 | PartII_question_7593 | PartII_question_8538 | PartII_question_8963 | PartII_question_9539 | PartII_question_11916 | PartII_question_12335 | PartII_question_16100 | PartII_question_17630
prefix,user i need to convert 100,29,PartII_question_3075 | PartII_question_8844 | PartII_question_11068 | PartII_question_11143 | PartII_question_12327 | PartII_question_13545 | PartII_question_21149 | PartII_question_23906 | PartII_question_27812 | PartII_question_27915
prefix,user i want to discover new,29,PartII_question_5630 | PartII_question_8749 | PartII_question_10106 | PartII_question_12291 | PartII_question_12471 | PartII_question_12629 | PartII_question_15858 | PartII_question_21995 | PartII_question_22423 | PartII_question_25997
prefix,user i want to send a,29,PartII_question_4454 | PartII_question_16346 | PartII_question_26106 | PartII_question_26887 | PartII_question_31623 | PartII_question_32582 | PartII_question_32586 | PartII_question_32767 | PartII_question_33963 | PartII_question_35615
prefix,user i'm looking to buy a,29,PartII_question_9011 | PartII_question_9292 | PartII_question_10797 | PartII_question_11114 | PartII_question_12513 | PartII_question_15142 | PartII_question_15868 | PartII_question_18054 | PartII_question_24490 | PartII_question_25342
prefix,user i'm organizing a charity run,29,PartII_question_5168 | PartII_question_5251 | PartII_question_6259 | PartII_question_6734 | PartII_question_11029 | PartII_question_11860 | PartII_question_12657 | PartII_question_13635 | PartII_question_14867 | PartII_question_17292
prefix,user i'm organizing a cooking competition,29,PartII_question_4800 | PartII_question_8816 | PartII_question_10945 | PartII_question_15497 | PartII_question_17089 | PartII_question_17447 | PartII_question_18202 | PartII_question_22275 | PartII_question_24078 | PartII_question_24363
prefix,user i'm organizing a tech conference,29,PartII_question_4215 | PartII_question_10451 | PartII_question_10655 | PartII_question_14472 | PartII_question_16651 | PartII_question_19959 | PartII_question_20210 | PartII_question_25304 | PartII_question_26571 | PartII_question_28329
prefix,user i'm planning a surprise gift,29,PartII_question_3097 | PartII_question_11096 | PartII_question_15517 | PartII_question_19630 | PartII_question_22261 | PartII_question_23860 | PartII_question_25489 | PartII_question_27630 | PartII_question_32680 | PartII_question_36446
prefix,user i'm redecorating my house and,29,PartII_question_5631 | PartII_question_5971 | PartII_question_10313 | PartII_question_12053 | PartII_question_12876 | PartII_question_13345 | PartII_question_13442 | PartII_question_24336 | PartII_question_27445 | PartII_question_31581
prefix,user can you fetch the details,28,PartII_question_3295 | PartII_question_4545 | PartII_question_7918 | PartII_question_8365 | PartII_question_8676 | PartII_question_8934 | PartII_question_12338 | PartII_question_13733 | PartII_question_21004 | PartII_question_25219
prefix,user can you give me a,28,MTU_MSTS_question_44 | MTU_MSTS_question_45 | MTU_MSTS_question_46 | MTU_MSTS_question_163 | MTU_MSTS_question_166 | PartII_question_3549 | PartII_question_6030 | PartII_question_7571 | PartII_question_18599 | PartII_question_26896
prefix,user how many additional letters does,28,PartII_question_74211 | PartII_question_74242 | PartII_question_74300 | PartII_question_74324 | PartII_question_74338 | PartII_question_74438 | PartII_question_74461 | PartII_question_74529 | PartII_question_74588 | PartII_question_74589
prefix,user how many distinct two letter,28,PartII_question_74206 | PartII_question_74260 | PartII_question_74270 | PartII_question_74299 | PartII_question_74361 | PartII_question_74381 | PartII_question_74400 | PartII_question_74519 | PartII_question_74552 | PartII_question_74577
prefix,user i am a small business,28,PartII_question_2806 | PartII_question_3944 | PartII_question_5062 | PartII_question_5106 | PartII_question_6619 | PartII_question_7509 | PartII_question_8935 | PartII_question_17055 | PartII_question_21202 | PartII_question_23950
prefix,user i need to prepare a,28,PartII_question_11565 | PartII_question_12241 | PartII_question_13534 | PartII_question_13596 | PartII_question_15059 | PartII_question_16115 | PartII_question_19533 | PartII_question_20480 | PartII_question_24845 | PartII_question_30388
prefix,user i'm a data analyst working,28,PartII_question_5658 | PartII_question_6019 | PartII_question_9019 | PartII_question_10759 | PartII_question_12360 | PartII_question_13004 | PartII_question_16384 | PartII_question_17046 | PartII_question_20316 | PartII_question_21083
prefix,user i'm a gaming enthusiast and,28,PartII_question_4985 | PartII_question_12748 | PartII_question_12948 | PartII_question_14506 | PartII_question_17147 | PartII_question_27122 | PartII_question_27730 | PartII_question_30653 | PartII_question_32276 | PartII_question_35596
prefix,user i'm a teacher and i'm,28,PartII_question_6949 | PartII_question_8218 | PartII_question_8956 | PartII_question_9468 | PartII_question_15376 | PartII_question_16145 | PartII_question_18418 | PartII_question_25596 | PartII_question_32866 | PartII_question_34764
prefix,user i'm curious about the latest,28,PartII_question_3245 | PartII_question_6535 | PartII_question_7516 | PartII_question_10869 | PartII_question_15591 | PartII_question_16352 | PartII_question_19554 | PartII_question_20501 | PartII_question_23351 | PartII_question_28241
prefix,user i'm organizing a family game,28,PartII_question_3349 | PartII_question_6181 | PartII_question_8168 | PartII_question_9957 | PartII_question_12964 | PartII_question_17371 | PartII_question_21154 | PartII_question_21369 | PartII_question_21554 | PartII_question_27352
prefix,user i'm organizing a music competition,28,PartII_question_5221 | PartII_question_6879 | PartII_question_8999 | PartII_question_16733 | PartII_question_17597 | PartII_question_19608 | PartII_question_27291 | PartII_question_29301 | PartII_question_33370 | PartII_question_36308
prefix,user my friend is traveling to,28,PartII_question_2750 | PartII_question_3790 | PartII_question_3859 | PartII_question_5050 | PartII_question_5240 | PartII_question_9348 | PartII_question_10685 | PartII_question_16062 | PartII_question_18654 | PartII_question_19340
prefix,user what is the difference between,28,PartII_question_802 | PartII_question_840 | PartII_question_1029 | PartII_question_1162 | PartII_question_1228 | PartII_question_1278 | PartII_question_1413 | PartII_question_1475 | PartII_question_1504 | PartII_question_1555
prefix,user what is the result of,28,PartII_question_973 | PartII_question_1888 | PartII_question_74248 | PartII_question_74250 | PartII_question_74255 | PartII_question_74288 | PartII_question_74298 | PartII_question_74308 | PartII_question_74410 | PartII_question_74440
prefix,user what is the total number,28,PartII_question_49660 | PartII_question_74205 | PartII_question_74257 | PartII_question_74258 | PartII_question_74274 | PartII_question_74388 | PartII_question_74395 | PartII_question_74433 | PartII_question_74467 | PartII_question_74642
skeleton,this svg path element <path d m <num> <num> l <num> <num> a <num> <num> <num> <num> <num> <num> <num> l <num> <num> > draws a options a circle b heptagon c hexagon d kite e line f octagon g pentagon h rectangle i sector j triangle,28,leaderboard_bbh_geometric_shapes_question_26 | leaderboard_bbh_geometric_shapes_question_27 | leaderboard_bbh_geometric_shapes_question_31 | leaderboard_bbh_geometric_shapes_question_53 | leaderboard_bbh_geometric_shapes_question_69 | leaderboard_bbh_geometric_shapes_question_78 | leaderboard_bbh_geometric_shapes_question_99 | leaderboard_bbh_geometric_shapes_question_135 | leaderboard_bbh_geometric_shapes_question_148 | leaderboard_bbh_geometric_shapes_question_149
prefix,how many ways are there to,27,leaderboard_math_counting_and_prob_hard_question_0 | leaderboard_math_counting_and_prob_hard_question_4 | leaderboard_math_counting_and_prob_hard_question_28 | leaderboard_math_counting_and_prob_hard_question_32 | leaderboard_math_counting_and_prob_hard_question_53 | leaderboard_math_counting_and_prob_hard_question_68 | leaderboard_math_num_theory_hard_question_153 | leaderboard_mmlu_pro_question_986 | leaderboard_mmlu_pro_question_997 | leaderboard_mmlu_pro_question_2559
prefix,on the nightstand you see a,27,leaderboard_bbh_reasoning_about_colored_objects_question_7 | leaderboard_bbh_reasoning_about_colored_objects_question_27 | leaderboard_bbh_reasoning_about_colored_objects_question_42 | leaderboard_bbh_reasoning_about_colored_objects_question_49 | leaderboard_bbh_reasoning_about_colored_objects_question_64 | leaderboard_bbh_reasoning_about_colored_objects_question_87 | leaderboard_bbh_reasoning_about_colored_objects_question_108 | leaderboard_bbh_reasoning_about_colored_objects_question_117 | leaderboard_bbh_reasoning_about_colored_objects_question_118 | leaderboard_bbh_reasoning_about_colored_objects_question_119
prefix,user can you help me check,27,MTU_MMTN_question_61 | MTU_MMTN_question_62 | MTU_MMTN_question_63 | PartII_question_18 | PartII_question_19 | PartII_question_146 | PartII_question_147 | PartII_question_182 | PartII_question_183 | PartII_question_246
prefix,user how many hours are there,27,PartII_question_74278 | PartII_question_74335 | PartII_question_74364 | PartII_question_74413 | PartII_question_74531 | PartII_question_74600 | PartII_question_74672 | PartII_question_74713 | PartII_question_74724 | PartII_question_74763
prefix,user how many letters exclude the,27,PartII_question_74259 | PartII_question_74273 | PartII_question_74480 | PartII_question_74514 | PartII_question_74521 | PartII_question_74533 | PartII_question_74559 | PartII_question_74571 | PartII_question_74605 | PartII_question_74627
prefix,user how many repeated letters are,27,PartII_question_74207 | PartII_question_74331 | PartII_question_74386 | PartII_question_74451 | PartII_question_74477 | PartII_question_74501 | PartII_question_74525 | PartII_question_74527 | PartII_question_74565 | PartII_question_74614
prefix,user how many times does the,27,PartII_question_922 | PartII_question_1530 | PartII_question_74226 | PartII_question_74246 | PartII_question_74263 | PartII_question_74292 | PartII_question_74349 | PartII_question_74357 | PartII_question_74371 | PartII_question_74402
prefix,user i am a journalist working,27,PartII_question_2982 | PartII_question_13029 | PartII_question_14731 | PartII_question_15365 | PartII_question_16108 | PartII_question_16247 | PartII_question_16817 | PartII_question_24955 | PartII_question_29710 | PartII_question_31672
prefix,user i am organizing a sports,27,PartII_question_4887 | PartII_question_7534 | PartII_question_10468 | PartII_question_10954 | PartII_question_15439 | PartII_question_23569 | PartII_question_25492 | PartII_question_26746 | PartII_question_26981 | PartII_question_29808
prefix,user i need to check my,27,PartII_question_6325 | PartII_question_7935 | PartII_question_10526 | PartII_question_11266 | PartII_question_12079 | PartII_question_15096 | PartII_question_17140 | PartII_question_19372 | PartII_question_27891 | PartII_question_35661
prefix,user i need your assistance in,27,PartII_question_5610 | PartII_question_6411 | PartII_question_9766 | PartII_question_13097 | PartII_question_14982 | PartII_question_17420 | PartII_question_29102 | PartII_question_30772 | PartII_question_31716 | PartII_question_34639
prefix,user i want to check my,27,PartII_question_7405 | PartII_question_9444 | PartII_question_11008 | PartII_question_16355 | PartII_question_16982 | PartII_question_17693 | PartII_question_20985 | PartII_question_21881 | PartII_question_23003 | PartII_question_24688
prefix,user i want to stay informed,27,PartII_question_6142 | PartII_question_9763 | PartII_question_11211 | PartII_question_14184 | PartII_question_16331 | PartII_question_17509 | PartII_question_21787 | PartII_question_27482 | PartII_question_31274 | PartII_question_32379
prefix,user i'm a developer and i,27,PartII_question_7721 | PartII_question_8699 | PartII_question_10160 | PartII_question_17315 | PartII_question_20035 | PartII_question_27150 | PartII_question_34087 | PartII_question_36673 | PartII_question_37402 | PartII_question_38225
prefix,user i'm a history enthusiast and,27,PartII_question_4696 | PartII_question_9147 | PartII_question_9298 | PartII_question_16140 | PartII_question_18387 | PartII_question_23997 | PartII_question_26843 | PartII_question_26911 | PartII_question_30077 | PartII_question_33937
prefix,user i'm a sports analyst and,27,PartII_question_17957 | PartII_question_22141 | PartII_question_22367 | PartII_question_24033 | PartII_question_31070 | PartII_question_31783 | PartII_question_33241 | PartII_question_37182 | PartII_question_44365 | PartII_question_44679
prefix,user i'm curious about the current,27,PartII_question_9066 | PartII_question_19090 | PartII_question_21038 | PartII_question_21745 | PartII_question_23041 | PartII_question_23430 | PartII_question_25975 | PartII_question_26659 | PartII_question_32077 | PartII_question_35200
prefix,user i'm hosting a music trivia,27,PartII_question_4225 | PartII_question_9966 | PartII_question_12771 | PartII_question_13473 | PartII_question_15270 | PartII_question_23583 | PartII_question_26081 | PartII_question_30111 | PartII_question_31732 | PartII_question_33197
prefix,user i'm interested in learning more,27,PartII_question_11365 | PartII_question_12148 | PartII_question_18225 | PartII_question_28051 | PartII_question_31260 | PartII_question_31807 | PartII_question_36813 | PartII_question_38262 | PartII_question_39766 | PartII_question_43454
prefix,user i'm interested in purchasing a,27,PartII_question_4289 | PartII_question_9411 | PartII_question_10281 | PartII_question_10531 | PartII_question_11182 | PartII_question_13181 | PartII_question_14793 | PartII_question_22652 | PartII_question_22943 | PartII_question_29096
prefix,user i'm organizing a gaming tournament,27,PartII_question_4437 | PartII_question_6980 | PartII_question_10097 | PartII_question_13049 | PartII_question_16095 | PartII_question_19098 | PartII_question_19167 | PartII_question_27182 | PartII_question_29004 | PartII_question_31771
